xdr_hash,total_fees,total_inclusion_fees,classic_ops,classic_non_dex_txs,classic_non_dex_txs_base_fee,classic_dex_txs,classic_dex_txs_base_fee,soroban_ops,soroban_base_fee,insns,disk_read_bytes,write_bytes,disk_read_entries,write_entries,tx_size_bytes
b9c3b449aee3d30b614342546e1d413b0de49291b043db10008a71e73da3444f,700048846,118323,116,5,408,0,0,11,138,119175300,75731,70977,182,115,502588
8c25801dc51aa8c83183ba7baceb507b988a4b45112c6a2a22c1cbc512ffa83d,900043318,80160,299,87,100,35,206,12,279,636495051,122125,55684,373,135,646972
aeef81429601debe2c10116353855eb7eeb8a707aa5a8decd86d8a36689a6ca3,500035835,182672,294,29,100,0,0,9,715,463534214,27084,229046,130,15,160552
69e86d7f289a6160deecfb0a7b1d9d35dcdcf83efe415f9efc50a864402019ad,500341107,569773,356,7,505,5,1412,9,793,160617852,163613,235874,339,79,295604
550abe372f065a96344962a58c2ce8831caa1ed60f62c602cce2b61a928111f6,800019739,105077,138,5,100,1,709,8,514,641289063,89122,38111,382,193,488364
4366abdbfd3420e728e3832c41d8b6fc13f545ff5267c684f59840bf2078ffec,1100121517,200231,155,1,100,5,757,15,673,665751421,113149,58880,404,240,598116
c5bedb7c32aa995bb021e985adf9c6c6310ce7ba720471ef04d1afb7c5ed1775,1300031368,157256,214,22,100,0,0,16,623,789821305,205586,56101,578,204,661172
3de9536d6dd4a64eae47eec23104fa515c2c908f73b1c44434c6633b9cd3e4cd,1200104392,140248,110,8,920,0,0,24,133,378515857,82072,89881,440,180,598096
31b1cbc42340f5bd032d73a536377a98b24a853fda6e69e1b7ab9bfde9bac687,1300214462,255638,109,5,1800,0,0,23,794,194185314,174015,158273,568,206,265588
7c4ca4394f18d50e8f2d0fd4879f76588b15347fd4df4f8cb36c5b0168ecc710,500033460,73962,315,31,100,0,0,7,280,209658720,68388,38848,177,75,840260
3f5cc32c0fc9585d7a53369ffd7c1ab48e4b088395e4acb91ac628f43cc7b9ad,700271194,443510,336,35,781,0,0,14,627,504544894,190880,233282,693,114,513712
a53547013bc89302cce3055b688109b37cab461be3d750d29fccda79368987a3,600015836,40851,48,2,100,5,424,8,124,442409709,244012,64005,268,159,357956
91f2b6d51a7a2e894f24d07dfd0b2155f8ac74cdfc47a96bf111ca189bd17173,1000168452,319086,318,20,494,0,0,20,568,104562952,81963,127733,632,125,658140
1f35273766308cf519933eb198d24d5a8c528c1f13f8f61cf24d57d11dce1c85,1200092120,217867,372,26,187,8,383,12,622,110659936,244854,188961,589,175,713360
8b00cebfe842777e7dfe83eea3f179de051bd17234f8737ef453f0d61136ab8e,900045282,61188,127,15,327,0,0,9,417,308841465,30128,149503,391,250,629340
c8294436bf93ea47ae23854dfa5bd57eaa873e71942d3b0a8014f88e54a44bd5,600013867,13888,132,3,100,3,101,6,101,136681610,82064,62597,588,137,844344
2880efa567d4da2d150126c24f6240bf7b07575b22e10677b9427f67b4d1e6a5,700187355,450169,399,9,371,3,719,11,1234,157757140,127459,79098,239,113,309360
9d1ec85f263702b4b880d2fa54648bae4646fed9bca7a2d4f3017bb9b8af98e8,700023369,215706,160,4,100,1,945,11,209,564818545,250754,32463,619,84,305808
aa54ca090a07a25abca8f3425d703b4a2fd4127fb50fec56cd45e301125ff3dc,700291384,441673,379,148,569,111,979,7,1389,88871160,82276,294087,656,78,505500
8fddff86e2620543f18f021085c00bbbd9039f45694fd2b6cb98c98db7155fa0,900299003,560815,295,4,744,8,1076,13,1035,993078879,136375,92526,386,85,449988
72216de82e7ad9c9c5975f64ab508adaf2d09b159ba654758cab70bac7608798,800091636,516376,293,27,100,3,2182,16,773,462811324,151693,202525,312,128,407332
806aa4e25b7e95f3143413f7dd3f4c340440f2852d908b77fbb547763adbaaba,1200280035,416458,151,3,1829,0,0,16,241,384422657,132275,56129,544,266,646480
a933e51203ffe7222992e22bb158735d318ba49e9734908283b7cc03346ab5d6,900132400,704422,430,26,271,0,0,15,1058,268867531,116024,221104,875,275,319680
a8cd2a71e378c66c06795ed13e146660328175e720c3de9fda06fd2d29cbb135,600051203,406706,235,23,148,0,0,11,1493,304485693,63114,93754,348,75,343320
dd9c5a2c373fe405bbd0597b74d243c8b49573d5cb559ad701dab2f848fc53b1,1200443108,629908,317,5,1079,1,2452,24,1179,464391790,119101,46503,334,129,899924
e29703963f7ed01d66ee86a9ce75b0b0fdde5c3cd3f84f955eb1af681c63a5db,800318420,565519,357,52,860,0,0,15,760,764760634,28420,82485,835,114,410012
03f1bf5a465b537e9840f532c55f78b124082a14692ae2e51599f66dbb28dcb8,1300028985,83694,117,10,185,0,0,20,367,404659635,57634,263263,463,214,774396
9e54761aa62159577d4cac7075b4b2d4c41c93e6bf2423b32cafa8b93b7d2c24,700055728,62602,106,13,491,0,0,7,526,468302474,154925,171334,440,139,912344
4fd9399c58571af46f80e9e610a3575fc27840f36a3de5a1cf5b8d817bdb971d,800068369,125213,411,28,163,0,0,8,172,184804666,213092,33087,405,37,882936
1887d0dfca0bc13dce13a0900e7cedbc0e7bae8e953b6dfd56a0bbe93a57dd85,600204581,316548,359,12,547,0,0,12,684,490132607,70328,69130,436,116,218164
fe114252798b447a35717f22880a630ff83ad7f072bfcd14d404f9a66483eafc,1000096732,126186,281,5,328,0,0,14,326,385927284,245615,249680,658,252,495960
28fb9cf3580ff250c3749f529ac3fec55bc14f02de577ec47680d1941a19fa42,1000067924,153638,336,8,100,9,272,20,323,624788777,70147,74282,572,249,395184
a83c5ccc4db82333ffc116f326416dbad5e74386f443eaddaddf369846de72c7,600172984,537286,184,7,898,0,0,12,646,405013352,111002,54124,543,34,200720
a51751dccae6979a1a7ba926aa14fe6dbd13e73084d74bc8e1c35af2b1b3d063,400097143,127813,242,4,262,7,599,4,768,183278829,106869,278025,487,101,178176
119d48f982e0aa807c559173040da849210c347790ed2e1db6e2ad04e1b32fdc,700050958,88057,407,20,122,0,0,8,163,232386352,90373,73850,728,407,612644
509afaf8787bca4ab731bb1a3de9e488ed7d74d8a703345d57bb4afc56af1a91,800091711,101514,105,2,828,0,0,13,367,310888141,245710,156856,471,72,304168
fc7c7b6ba1b73b9c35487d0aefb630c144a6ebbed7420c75529d8b3ba4cfe1aa,1000160005,418909,306,7,387,6,590,13,1075,175647333,149493,49817,318,137,565348
09bb572e58b60b5cbe26b6fdf5434e919e3381b5a6f2311d716dcbf895ab67b8,700042537,81421,76,2,100,3,1113,12,801,307849140,124071,227806,609,120,780000
